Producto;Categoría del producto
[VEN163185,] ELECTRODOMESTICOS;INVENTARIO PDVSA / CANGURO / VENTAS MAYOR
[UTIL2629,] ELEMENTO FILTRO /SEPARADOR RACOR  S3240 VAN H1 ( UNIDAD );INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[BGTL0774,] ELEVADOR DE VOLTAJE PORTATIL WPS WONDERFUL 10400;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[UTIL3189,] EMBLEMA TAPAS LATERALES EMPIRE ( PAR );INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL3302,] EMBOBINADO/ TRANSITOR DE CUERPO MAGNETICO PARA MOTO HORSE TX ARSEN II SPEED OWEN HR V ;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL3263,] EMPACADURA DE HORSE CG150 ( UNIDAD );INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL9383,] EMPACADURA MAGNETO SCOOTER HORSE;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL3262,] EMPACADURA OWEN GS;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL9277,] EMPACADURA PARA TAPA VALVULA DE HORSE/NEW HORSE 150;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL10083,] EMPACADURA REDUCCION PARA SIFON 02 PULGADAS X1-1/4 PULGADA;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171348,] EMPAQUE AEDOS 10 CM × 12 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171350,] EMPAQUE AEDOS 11 CM × 16 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171353,] EMPAQUE AEDOS 15 CM × 22 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171358,] EMPAQUE AEDOS 20 CM × 40 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171354,] EMPAQUE AEDOS 23 CM × 29 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171359,] EMPAQUE AEDOS 25 CM × 45 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171360,] EMPAQUE AEDOS 30 CM × 35 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171371,] EMPAQUE AEDOS 30 CM × 42 CM × 11 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171370,] EMPAQUE AEDOS 37 CM × 43 CM × 15 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171369,] EMPAQUE AEDOS 60 CM × 42 CM × 15 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171346,] EMPAQUE AEDOS 7.5 CM × 12 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171351,] EMPAQUE AEDOS 8 CM × 20 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171352,] EMPAQUE AEDOS 8 CM × 25 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171393,] EMPAQUE BAKZER 11 CM × 16 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171394,] EMPAQUE BAKZER 15 CM × 22 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171395,] EMPAQUE BAKZER 23 CM × 29 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171396,] EMPAQUE BAKZER 30 CM × 35 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171373,] EMPAQUE CANGURO 10 CM × 12 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171374,] EMPAQUE CANGURO 11 CM × 16 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171379,] EMPAQUE CANGURO 15 CM × 22 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171382,] EMPAQUE CANGURO 20 CM × 40 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171381,] EMPAQUE CANGURO 23 CM × 29 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171383,] EMPAQUE CANGURO 25 CM × 45 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171384,] EMPAQUE CANGURO 30 CM × 35 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171368,] EMPAQUE CANGURO 30 CM × 42 CM × 11 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171366,] EMPAQUE CANGURO 37 CM × 43 CM × 15 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171364,] EMPAQUE CANGURO 60 CM × 42 CM × 15 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171372,] EMPAQUE CANGURO 7.5 CM × 12 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171375,] EMPAQUE CANGURO 8 CM × 20 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171377,] EMPAQUE CANGURO 8 CM × 25 CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR158529,] EMPAQUE CANGURO PARA CONTROL;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL0999,] EMPAQUE CANGURO PARA FORROS;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR160161,] EMPAQUE PLASTICO TRANSPARENTE;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR170875166789,] EMPAQUE TRANSPARENTE TOXIIK 3218 14 CM DE ANCHO X 16 DE LARGO;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[ENC170745166667, 7453058103231] ENCENDEDOR DE COCINA LUMEN DE PIEDRA GY-05550;FERRETERIA Y HERRAMIENTAS PARA EL HOGAR / FERRETERIA GENERAL / Encendedores, Flameadores y Recargas
[ENC167566,] ENCENDEDOR FLAMEADOR FLOPPI FL-FM07 MEDIANO  ;FERRETERIA Y HERRAMIENTAS PARA EL HOGAR / FERRETERIA GENERAL / Encendedores, Flameadores y Recargas
[ENC167562,] ENCENDEDOR FLAMEADOR FLOPPI FL-FP25 MINIATURA ;FERRETERIA Y HERRAMIENTAS PARA EL HOGAR / FERRETERIA GENERAL / Encendedores, Flameadores y Recargas
[OFI162669, 6953231006218] ENGRAPADORA COMPACTA COLOR ROSADO OK101 OFIMAK;ARTICULOS ESCOLARES Y DE OFICINA AEDOS / PAPELERÍA Y OFICINA / Oficina y Organizacion
[OFI162752, 0704831778120] ENGRAPADORA DE BOLSILLO COLORES VARIADOS OK102F OFIMAK                                                                  ;ARTICULOS ESCOLARES Y DE OFICINA AEDOS / PAPELERÍA Y OFICINA / Oficina y Organizacion
[PAP162699, 00400962166338] ENGRAPADORA DE BOLSILLO CON GRAPAS COLORES VARIADOS BL289 OFIMAK;ARTICULOS ESCOLARES Y DE OFICINA AEDOS / PAPELERÍA Y OFICINA / Papeleria y Articulos Escolares
[OFI162662, 0781360870860] ENGRAPADORA DE ESCRITORIO GRANDE COLOR NEGRO OK100B OFIMAK;ARTICULOS ESCOLARES Y DE OFICINA AEDOS / PAPELERÍA Y OFICINA / Oficina y Organizacion
[OFI162316, 7702404190228] ENGRAPADORA GARABATOS PLASTICA FL-238;ARTICULOS ESCOLARES Y DE OFICINA AEDOS / PAPELERÍA Y OFICINA / Oficina y Organizacion
[PAP163561,] ENGRAPADORA INDUSTRIAL METAL Y NEGRO 200 HJS OFIMAX ;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / PAPELERIA Y MATERIALES DE OFICINA
[PAP162726, 6937544312143] ENGRAPADORA LISA Y CORRUGADA COLOR CROMADO OK06 OFIMAK;ARTICULOS ESCOLARES Y DE OFICINA AEDOS / PAPELERÍA Y OFICINA / Papeleria y Articulos Escolares
[PAP162725, 6937544312037] ENGRAPADORA LISA Y CORRUGADA COLOR NEGRO OK05 OFIMAK;ARTICULOS ESCOLARES Y DE OFICINA AEDOS / PAPELERÍA Y OFICINA / Papeleria y Articulos Escolares
[UTIL9529,] ENGRAPADORA PARA ESCRITORIO ;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL5643,] ENVASE DE AGUA PARA NKR;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / INVENTARIOS PARA ELECTRODOMESTICOS Y OTROS ELEMENTOS DE EQUIPAMENTOS
[SET171728,] ENVASE PARA PERFUME RECARGABLE GENERICO NEC02601-070 (COLORES METÁLICOS SURTIDOS;BELLEZA Y CUIDADO PERSONAL AEDOS / PERFUMERIA Y FRAGANCIAS / Sets y Estuches de Perfumería y Fragancias
[SET171726,] ENVASE PARA PERFUME RECARGABLE GENERICO NEC02601-075 (COLORES METÁLICOS SURTIDOS PORTÁTIL);BELLEZA Y CUIDADO PERSONAL AEDOS / PERFUMERIA Y FRAGANCIAS / Sets y Estuches de Perfumería y Fragancias
[SET171735,] ENVASE PARA PERFUME RECARGABLE GENERICO NECO2601-072 COLORES METALICOS SURTIDOS;BELLEZA Y CUIDADO PERSONAL AEDOS / PERFUMERIA Y FRAGANCIAS / Sets y Estuches de Perfumería y Fragancias
[UTIL9243, UTIL1123] ENVOPLAST TRANSPARENTE 50CM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / ELEMENTOS DE ASEO Y CAFETERIA
[VEN163170,] EQUIPOS Y DISPOSITIVOS DE RED;INVENTARIO PDVSA / CANGURO / VENTAS MAYOR
[UTIL4528,] ESCALERA 4 PELDAÑOS DE ALUMINIO ALFORT LS0104;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / INVENTARIOS PARA ELECTRODOMESTICOS Y OTROS ELEMENTOS DE EQUIPAMENTOS
[UTIL5493,] ESCALERA DE ALUMINIO DE 7 PELDAÑOS 1.3MM LS0107;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / INVENTARIOS PARA ELECTRODOMESTICOS Y OTROS ELEMENTOS DE EQUIPAMENTOS
[UTIL9202,] ESCALERA DE ALUMINIO DE 8 PELDAÑOS 1.3MM LS0108;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / INVENTARIOS PARA ELECTRODOMESTICOS Y OTROS ELEMENTOS DE EQUIPAMENTOS
[INV156020,] ESCALERA DOBLE X3;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / INVENTARIOS PARA ELECTRODOMESTICOS Y OTROS ELEMENTOS DE EQUIPAMENTOS
[INV156021,] ESCALERA DOBLE X4;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / INVENTARIOS PARA ELECTRODOMESTICOS Y OTROS ELEMENTOS DE EQUIPAMENTOS
[INV156018,] ESCALERA DOBLE X5;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / INVENTARIOS PARA ELECTRODOMESTICOS Y OTROS ELEMENTOS DE EQUIPAMENTOS
[UTIL10495,] ESCALERA DOBLE X7;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / INVENTARIOS PARA ELECTRODOMESTICOS Y OTROS ELEMENTOS DE EQUIPAMENTOS
[UTIL9201,] ESCALERA TELESCOPICA EXTENSIBLE;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / INVENTARIOS PARA ELECTRODOMESTICOS Y OTROS ELEMENTOS DE EQUIPAMENTOS
[UTIL10174,] ESCANER LECTOR 5100;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / EQUIPOS Y PARTES ELECTRONICAS DE OFICINAS
[UTIL5117,] ESCOBA CON PALO (UNIDAD);INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171767167551, 6932009612349] ESFERAS FACIALES CRIOTERAPIA BINGO BEAUTY NEC02601-091 ;BELLEZA Y CUIDADO PERSONAL AEDOS / ACCESORIOS DIVERSOS / Otros Accesorios Diversos
[OTR172071,] ESMALTE 26874-1/ 26874-2/ 26874-3/ 26874-4/ 26874-5;BELLEZA Y CUIDADO PERSONAL AEDOS / ARTICULOS Y HERRAMIENTAS DE BELLEZA / Otros Articulos y Herramientas de Belleza
[UTIL2535, 592399000080,7598122003021] ESMALTE BRILLANTE NEGRO MANPICA CLASE A GALON;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL1297,] ESPARRAGOS 1/8 X2 ROSCA FINA (UNIDAD);INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL2940,] ESPARRAGOS HORSE/JAGUAR DE 8MM DE TUBO DE ESCAPE PARA MOTO;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL4593,] ESPARRAGOS PARA LETRERO LUMINOSO (UNIDAD);INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL3805, 6972951242836] ESPATULA DE ALBAÑILERIA EMTOP DE 80MM MODELO EPTLA08002;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[PQTL0489,] ESPATULA DE PRECISION QIANLI #008 / PUNTAS INTERCAMBIABLES;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Pequeñas
[PQTL0113,] ESPATULA DE PRECISION QIANLI #010;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Pequeñas
[OTR166099162327, 7453038421782] ESPATULA EXCALIBUR CUADRADA ACERO INOXIDABLE / A151-F7469;HOGAR Y DECORACION  AEDOS / ENSERES DE COCINA / Otros  Accesorios de Cocina
[UTIL1358, 7450077014586] ESPATULA METALICA  4 PULGADAS MANGO PLASTICO MARCA BRICKELL;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[OTR170741166663, 7453038409520] ESPATULA PARRILLERA EXCALIBUR 4 PULGADAS;HOGAR Y DECORACION  AEDOS / ENSERES DE COCINA / Otros  Accesorios de Cocina
[PQTL0107,] ESPATULA QIANLI SOPORTE NEGRO;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Pequeñas
[ESP169748,] ESPEJO LED PARA TOCADOR ;BELLEZA Y CUIDADO PERSONAL AEDOS / ARTICULOS Y HERRAMIENTAS DE BELLEZA / Espejos
[MAT168280,] ESPEJO RECTANGULAR 30*10;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL10092,] ESPIRAL PARA ZANCUDOS LULU;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[ART172113167758, 0757817931965] ESPONJA BRILLO INOXIDABLE X3 MAXI;HOGAR Y DECORACION  AEDOS / HERRAMIENTAS E INSUMOS DE  LIMPIEZA / Articulos de Limpieza y Lavanderia
[UTIL0984, 7597983000118, 7453010015787] ESPONJA DE ALAMBRE;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL0906, 6930958820112, 7595751000155] ESPONJA DE LAVAPLATOS DOBLE USO;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[CNBL0029,] ESPONJA METALICA BAKU BA-222;CANGURO / Consumibles 14350115 / CONSUMIBLES FIX
[CNBL0431,] ESPONJA METALICA BEST;CANGURO / Consumibles 14350115 / CONSUMIBLES FIX
[CNBL0446,] ESPONJA METALICA VALTIK VK-666;CANGURO / Consumibles 14350115 / CONSUMIBLES FIX
[ESP171776167553, 6973578912423] ESPONJA PARA MAQUILLAJE AGE-121 FORMA DE GOTA UNICOLOR;BELLEZA Y CUIDADO PERSONAL AEDOS / ARTICULOS Y HERRAMIENTAS DE BELLEZA / Esponjas de Maquillaje
[ESP171777167554, 6973578912218] ESPONJA PARA MAQUILLAJE AGE-127 ERGONOMICA CON CINTURA ;BELLEZA Y CUIDADO PERSONAL AEDOS / ARTICULOS Y HERRAMIENTAS DE BELLEZA / Esponjas de Maquillaje
[ART171661167466, 7707121939181, HER171661167466] ESPONJILLA LA PODEROSA MULTIUSO PACK X3 UNIDADES;HOGAR Y DECORACION  AEDOS / HERRAMIENTAS E INSUMOS DE  LIMPIEZA / Articulos de Limpieza y Lavanderia
[UTIL9808, 7453118003303] ESPUMA EXPANSIVA DE POLIURETANO FREEZE 750ML;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / ELEMENTOS DE ASEO Y CAFETERIA
[OTR166100162328, 7453078517834] ESPÁTULA EXCALIBUR PARA PIZZA Y PASTEL / A151-F7428 ;HOGAR Y DECORACION  AEDOS / ENSERES DE COCINA / Otros  Accesorios de Cocina
[ACCR0845, ACCR23939, 6971071550128, 195221000059] ESTABILIZADOR AUTOMATICO HOHEM ISTEADY MOBILE PLUS;CANGURO / Accesorio 14350101 / Linea Accesorios
[PQTL0408,] ESTACION DE CALEFACCION PUNTA DE CAUTIN RELIFE RL-067;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Pequeñas
[BGTL0632,] ESTACION DE CALOR BAKON BK-701D;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0631,] ESTACION DE CALOR BAKON BK-861;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0635,] ESTACION DE CALOR BAKON BK-863 (600-I);CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0034,] ESTACION DE CALOR BAKU BA 8850D;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0036, 3390551311128] ESTACION DE CALOR BAKU BK 702L;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0027,] ESTACION DE CALOR BAKU BK-909;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0047, 6971806517631] ESTACION DE CALOR QUICK 706W+;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0703, 6974252825510] ESTACION DE CALOR QUICK 858D+;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[HER5580053964, BGTL0040, 6971806516917] ESTACION DE CALOR QUICK 861DW;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0701,] ESTACION DE CALOR QUICK K8;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0026,] ESTACION DE CALOR VALTIK VK-702L;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0579,] ESTACION DE CALOR YIHUA 993DM;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0718,] ESTACION DE CALOR YIHUA-8786D-I;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[EQU146880143458, UTIL0989, 6926032317111] ESTACION DE CARGA CANGURO K29C METALICO PEQUEÑO;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / EQUIPOS Y PARTES ELECTRONICAS DE OFICINAS
[EVE160656,] ESTACION DE CARGA CONTROL PS5;Equipos de uso interno / Eventos
[UTIL0133,] ESTACION DE CARGA METALICO GRANDE;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / EQUIPOS Y PARTES ELECTRONICAS DE OFICINAS
[LIN164667160913, LIN164667LTC] ESTACION DE CARGA SOLAR YSF-300 12000MAH;CANGURO / Accesorio 14350101 / Linea Accesorios
[HER160686, 6942174892996] ESTACION DE DESOLDADO HEAT AIR MECHANIC;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Pequeñas
[BGTL0628,] ESTACION DE MICRO SOLDADURA BAKON BK-999;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[INV159677,] ESTACION DE PODER 3600W ;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / INVENTARIOS PARA ELECTRODOMESTICOS Y OTROS ELEMENTOS DE EQUIPAMENTOS
[TRON1137, UTIL8691] ESTACION DE PUBLICIDAD  HSB-AD550AL;CANGURO / Equipos Electrónicos 14350119 / TELEVISORES
[BGTL0629,] ESTACION DE SOLDADURA BAKON BK-90;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0858, 2022092206498] ESTACION DE SOLDADURA GVM T12-XS;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0634,] ESTACION DE SOLDADURA PORTATIL BAKON BK-950D (T13-ILS);CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0567,] ESTACION DE SOLDADURA PORTATIL X SOLDERING;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0710,] ESTACION DE SOLDADURA QUICK 936;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0214,] ESTACION DE SOLDADURA SUGON T36;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[HER166151162378, 6941590213958] ESTACION DE SOLDADURA SUNSHINE H3 ;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[HER166150162377, 6941590216782] ESTACION DE SOLDADURA SUNSHINE S3 ;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0575,] ESTACION DE SOLDADURA SUNSHINE T12A;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0860,] ESTACION DE SOLDADURA YAXUN YX936;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0596,] ESTACION DE SOLDADURA YIHUA 937D+;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[HER157194, 6928032902403] ESTACION DE SOLDAR BAKU 2 EN 1 BA 898D+ ;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[EQU170604166527, 193022004344] ESTACION ENERGIA PORTATIL BLUETTI 600W 320WH P-PR30V2;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / EQUIPOS Y PARTES ELECTRONICAS DE OFICINAS
[SOL158211,] ESTACIONAMIENTO;Solicitud de gasto
[ACCR8974, UTIL2109] ESTACIÓN DE CARGA K29;CANGURO / Accesorio 14350101 / Linea Accesorios
[BGTL0734, 62020170309010] ESTACIÓN DE SOLDADURA GVM T210;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[EVE154598,] ESTACIÓN GAMER PEQUEÑA ;Equipos de uso interno / Eventos
[MAT161046, 6941590211015] ESTANTE DE ALMACENAMIENTO AJUSTABLE SUSHINE SPACE-M;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIAL PUBLICITARIO
[MAT170660,] ESTANTE EXHIBIDOR CANGURO 1.6M 88 PZAS;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIAL PUBLICITARIO
[UTIL4917,] ESTANTE PARA GABINETE 2U RACK;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL5300,] ESTAÑO (60/40) X TUBO;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL8552,] ESTAÑO EN HILO KGX 0.3mm 50G 120 X 4.0;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[CNBL0693, CNBL24040402] ESTAÑO EN HILO MECHANIC HX-T100 0.3MM -100G;CANGURO / Consumibles 14350115 / CONSUMIBLES FIX
[CON4383241996, CNBL0630, 6971806511448] ESTAÑO EN HILO RELIFE RL-440 0.6MM;CANGURO / Consumibles 14350115 / CONSUMIBLES FIX
[CNBL0469,] ESTAÑO EN HILO RELIFE RL-441 - 0.2 MM;CANGURO / Consumibles 14350115 / CONSUMIBLES FIX
[CNBL0041,] ESTAÑO EN HILO RELIFE RL-441 - 0.3 MM;CANGURO / Consumibles 14350115 / CONSUMIBLES FIX
[CNBL0631,] ESTAÑO EN HILO RELIFE RL-441 - 0.6 MM;CANGURO / Consumibles 14350115 / CONSUMIBLES FIX
[CNBL0667,] ESTAÑO EN PASTA ALPHA OM-5100;CANGURO / Consumibles 14350115 / CONSUMIBLES FIX
[CNBL0666,] ESTAÑO EN PASTA ALPHA OM-550;CANGURO / Consumibles 14350115 / CONSUMIBLES FIX
[CNBL0499, CNBL23805, CNBL24040405] ESTAÑO EN PASTA AMAOE M10-183;CANGURO / Consumibles 14350115 / CONSUMIBLES FIX
[CNBL0500, CNBL23806, CNBL24040406, 40000659] ESTAÑO EN PASTA AMAOE M11-138;CANGURO / Consumibles 14350115 / CONSUMIBLES FIX
[CNBL0501, CNBL23807, CNBL24040407] ESTAÑO EN PASTA AMAOE M13-190;CANGURO / Consumibles 14350115 / CONSUMIBLES FIX
[CNBL0498, CNBL23804, CNBL24040404] ESTAÑO EN PASTA AMAOE M9-217;CANGURO / Consumibles 14350115 / CONSUMIBLES FIX
[CNBL0568,] ESTAÑO EN PASTA ANT XIN 158 C;CANGURO / Consumibles 14350115 / CONSUMIBLES FIX
